subject,series,n_frames,duration_sec,n_trials,has_nan,amp_max,n_HandStart,n_FirstDigitTouch,n_BothStartLoadPhase,n_LiftOff,n_Replace,n_BothReleased
1,1,119496,239.0,34,False,11312.0,5100,5100,5100,5100,5100,5100
1,2,271954,543.9,34,False,4037.0,5100,5100,5100,5100,5100,5100
1,3,217614,435.2,28,False,3008.0,4200,4200,4200,4200,4200,4200
1,4,116240,232.5,34,False,3310.0,5100,5100,5100,5100,5100,5100
1,5,210644,421.3,28,False,4126.0,4200,4200,4200,4200,4200,4200
1,6,249550,499.1,34,False,3042.0,5100,5100,5100,5100,5100,5100
1,7,119561,239.1,34,False,15929.0,5100,5100,5100,5100,5100,5100
1,8,117333,234.7,34,False,2526.0,5100,5100,5100,5100,5100,5100
2,1,291874,583.7,28,False,4125.0,4200,4200,4200,4200,4200,4200
2,2,330082,660.2,34,False,4017.0,5100,5100,5100,5100,5100,5100
2,3,152745,305.5,34,False,3446.0,5100,5100,5100,5100,5100,5100
2,4,278114,556.2,34,False,3639.0,5100,5100,5100,5100,5100,5100
2,5,151647,303.3,34,False,2997.0,5100,5100,5100,5100,5100,5100
2,6,206222,412.4,28,False,2940.0,4200,4200,4200,4200,4200,4200
2,7,150865,301.7,34,False,2957.0,5100,5100,5100,5100,5100,5100
2,8,149945,299.9,34,False,4049.0,5100,5100,5100,5100,5100,5100
3,1,122262,244.5,34,False,5045.0,5100,5100,5100,5100,5100,5100
3,2,192860,385.7,28,False,1914.0,4200,4200,4200,4200,4200,4200
3,3,229357,458.7,34,False,1732.0,5100,5100,5100,5100,5100,5100
3,4,196416,392.8,28,False,2101.0,4200,4200,4200,4200,4200,4200
3,5,248572,497.1,34,False,1541.0,5100,5100,5100,5100,5100,5100
3,6,116333,232.7,34,False,1264.0,5100,5100,5100,5100,5100,5100
3,7,115079,230.2,34,False,1236.0,5100,5100,5100,5100,5100,5100
3,8,114946,229.9,34,False,1404.0,5100,5100,5100,5100,5100,5100
4,1,246612,493.2,34,False,3271.0,5100,5100,5100,5100,5100,5100
4,2,208724,417.4,28,False,4809.0,4200,4200,4200,4200,4200,4200
4,3,131495,263.0,34,False,2025.0,5100,5100,5100,5100,5100,5100
4,4,205592,411.2,28,False,5685.0,4200,4200,4200,4200,4200,4200
